#,Country,Global Crime Index (2023),Percentage Change (vs. 2021)
1,Democratic Republic of the Congo,7.75,0%
2,Colombia,7.66,0%
3,Myanmar,7.59,0%
4,Mexico,7.56,0%
5,Nigeria,7.15,0%
6,Iran,7.1,0%
7,Afghanistan,7.08,0%
8,Iraq,7.05,0%
9,Central African Republic,7.04,0%
10,Honduras,6.98,0%
11,Kenya,6.95,0%
12,Turkey,6.89,0%
13,Philippines,6.84,0%
14,Syria,6.84,0%
15,Lebanon,6.76,0%
16,Paraguay,6.7,0%
17,Panama,6.68,0%
18,Venezuela,6.64,0%
19,South Africa,6.63,0%
20,Libya,6.55,0%
21,Mozambique,6.53,0%
22,Brazil,6.5,0%
23,Guatemala,6.48,0%
24,Sudan,6.46,0%
25,Indonesia,6.38,0%
26,Peru,6.35,0%
27,South Sudan,6.34,0%
28,Cameroon,6.31,0%
29,Pakistan,6.28,0%
30,Vietnam,6.28,0%
31,Ecuador,6.25,0%
32,Russia,6.24,0%
33,Serbia,6.21,0%
34,Ukraine,6.18,0%
35,Nepal,6.16,0%
36,Ivory Coast,6.15,0%
37,Tanzania,6.15,0%
38,Uganda,6.14,0%
39,Yemen,6.13,0%
40,Nicaragua,6.06,0%
41,Ghana,6.01,0%
42,Niger,6.01,0%
43,People's Republic of China,6.01,0%
44,Saudi Arabia,6.01,0%
45,Montenegro,6,0%
46,El Salvador,5.94,0%
47,Malaysia,5.94,0%
48,Jamaica,5.91,0%
49,Bosnia and Herzegovina,5.89,0%
50,Mali,5.89,0%
51,Chad,5.86,0%
52,Cambodia,5.83,0%
53,Italy,5.81,0%
54,Somalia,5.79,0%
55,Spain,5.78,0%
56,Thailand,5.76,0%
57,United Arab Emirates,5.75,0%
58,Haiti,5.73,0%
59,France,5.66,0%
60,Zimbabwe,5.66,0%
61,Albania,5.63,0%
62,Tajikistan,5.61,0%
63,Madagascar,5.59,0%
64,India,5.53,0%
65,Laos,5.51,0%
66,United States of America,5.5,0%
67,Burkina Faso,5.49,0%
68,Guinea-Bissau,5.45,0%
69,Papua New Guinea,5.44,0%
70,Bulgaria,5.43,0%
71,Sierra Leone,5.4,0%
72,Kyrgyzstan,5.33,0%
73,Togo,5.33,0%
74,Republic of Macedonia,5.31,%
75,Angola,5.29,0%
76,Benin,5.25,0%
77,Qatar,5.21,0%
78,Guinea,5.2,0%
79,Egypt,5.16,0%
80,Dominican Republic,5.15,0%
81,Kuwait,5.14,0%
82,Guyana,5.1,0%
83,Azerbaijan,5.08,0%
84,Belarus,5.08,0%
85,Croatia,5.06,0%
86,Liberia,5.05,0%
87,Republic of the Congo,5.03,0%
88,Costa Rica,4.99,0%
89,Bangladesh,4.98,0%
90,Uzbekistan,4.96,0%
91,Trinidad and Tobago,4.94,0%
92,Greece,4.93,0%
93,Zambia,4.93,0%
94,South Korea,4.91,0%
95,Gabon,4.9,0%
96,Germany,4.9,0%
97,Ireland,4.9,0%
98,Suriname,4.9,0%
99,United Kingdom,4.89,0%
100,Bahrain,4.83,0%
101,The Gambia,4.83,0%
102,Senegal,4.81,0%
103,Ethiopia,4.79,0%
104,Morocco,4.79,0%
105,North Korea,4.78,0%
106,Jordan,4.71,0%
107,Netherlands,4.69,0%
108,Slovakia,4.69,0%
109,Malta,4.65,0%
110,Belize,4.64,0%
111,Sri Lanka,4.64,0%
112,Czech Republic,4.63,0%
113,Turkmenistan,4.61,0%
114,Chile,4.6,0%
115,Romania,4.59,0%
116,Sweden,4.56,0%
117,Portugal,4.55,0%
118,Japan,4.53,0%
119,Algeria,4.51,0%
120,Burundi,4.51,0%
121,Mauritius,4.51,0%
122,Hungary,4.5,0%
123,Moldova,4.45,0%
124,Israel,4.41,0%
125,Argentina,4.38,0%
126,Mauritania,4.38,0%
127,Belgium,4.34,0%
128,Eritrea,4.34,0%
129,Switzerland,4.34,0%
130,Namibia,4.33,0%
131,Bolivia,4.3,0%
132,Slovenia,4.29,0%
133,Kazakhstan,4.26,0%
134,Cyprus,4.19,0%
135,Solomon Islands,4.15,0%
136,Oman,4.14,0%
137,Equatorial Guinea,4.11,0%
138,Saint Kitts and Nevis,4.1,0%
139,Saint Lucia,4.09,0%
140,Maldives,4.06,0%
141,Austria,4.04,0%
142,Mongolia,4.01,0%
143,Poland,4.01,0%
144,Australia,4,0%
145,Djibouti,3.99,0%
146,East Timor,3.96,0%
147,Fiji,3.9,0%
148,Lesotho,3.9,0%
149,Comoros,3.86,0%
150,Denmark,3.86,0%
151,Malawi,3.83,0%
152,Norway,3.81,0%
153,The Bahamas,3.79,0%
154,Tunisia,3.79,0%
155,Tonga,3.78,%
156,Botswana,3.71,0%
157,Bhutan,3.69,0%
158,Rwanda,3.68,0%
159,Seychelles,3.68,0%
160,Canada,3.66,0%
161,Eswatini,3.63,0%
162,Estonia,3.6,0%
163,Latvia,3.51,0%
164,Cuba,3.44,0%
165,Iceland,3.39,0%
166,Antigua and Barbuda,3.34,0%
167,Lithuania,3.31,0%
168,Federated States of Micronesia,3.3,0%
169,Saint Vincent and the Grenadines,3.3,0%
170,Armenia,3.26,0%
171,New Zealand,3.25,0%
172,Barbados,3.21,0%
173,Singapore,3.13,0%
174,Grenada,3.05,0%
175,San Marino,3.01,0%
176,Andorra,2.96,0%
177,Georgia,2.96,0%
178,Palau,2.94,0%
179,Brunei,2.76,0%
180,Finland,2.71,0%
181,Uruguay,2.69,0%
182,Dominica,2.63,0%
183,Monaco,2.43,0%
184,Luxembourg,2.36,0%
185,Kiribati,2.35,%
186,Marshall Islands,2.31,0%
187,Vanuatu,2.2,0%
188,Samoa,2.04,%
189,Liechtenstein,1.88,0%
190,São Tomé and Príncipe,1.78,0%
191,Nauru,1.76,0%
192,Tuvalu,1.54,%
