Country,Happiness Index
Finland,7.82
Denmark,7.64
Iceland,7.56
Switzerland,7.51
Netherlands,7.42
Luxembourg,7.4
Sweden,7.38
Norway,7.37
Israel,7.36
New Zealand,7.2
Australia,7.16
Austria,7.16
Ireland,7.04
Canada,7.03
Germany,7.03
United States of America,6.98
United Kingdom,6.94
Czech Republic,6.92
Belgium,6.81
France,6.69
Bahrain,6.65
Slovenia,6.63
Costa Rica,6.58
United Arab Emirates,6.58
Saudi Arabia,6.52
Taiwan,6.51
Romania,6.48
Singapore,6.48
Spain,6.48
Italy,6.47
Uruguay,6.47
Kosovo,6.46
Lithuania,6.45
Malta,6.45
Slovakia,6.39
Estonia,6.34
Panama,6.31
Brazil,6.29
Guatemala,6.26
Kazakhstan,6.23
Cyprus,6.22
Latvia,6.18
Serbia,6.18
Chile,6.17
Nicaragua,6.17
Croatia,6.13
Mexico,6.13
El Salvador,6.12
Poland,6.12
Kuwait,6.11
Hungary,6.09
Mauritius,6.07
Uzbekistan,6.06
Japan,6.04
Honduras,6.02
Portugal,6.02
Argentina,5.97
Greece,5.95
South Korea,5.94
Philippines,5.9
Thailand,5.89
Moldova,5.86
Jamaica,5.85
Kyrgyzstan,5.83
Belarus,5.82
Colombia,5.78
Bosnia and Herzegovina,5.77
Mongolia,5.76
Dominican Republic,5.74
Malaysia,5.71
Bolivia,5.6
People's Republic of China,5.59
Paraguay,5.58
Peru,5.56
Montenegro,5.55
Ecuador,5.53
Vietnam,5.49
Turkmenistan,5.47
Russia,5.46
Hong Kong,5.43
Armenia,5.4
Nepal,5.38
Tajikistan,5.38
Bulgaria,5.37
Libya,5.33
Indonesia,5.24
Ivory Coast,5.24
Albania,5.2
South Africa,5.19
Azerbaijan,5.17
Bangladesh,5.16
The Gambia,5.16
Laos,5.14
Algeria,5.12
Liberia,5.12
Ukraine,5.08
Morocco,5.06
Cameroon,5.05
Mozambique,5.05
Senegal,5.05
Niger,5.0
Georgia,4.97
Gabon,4.96
Iraq,4.94
Venezuela,4.93
Guinea,4.89
Iran,4.89
Ghana,4.87
Turkey,4.74
Burkina Faso,4.67
Cambodia,4.64
Benin,4.62
Comoros,4.61
Uganda,4.6
Nigeria,4.55
Kenya,4.54
Pakistan,4.52
Tunisia,4.52
Mali,4.48
Namibia,4.46
Eswatini,4.4
Myanmar,4.39
Sri Lanka,4.36
Madagascar,4.34
Egypt,4.29
Chad,4.25
Ethiopia,4.24
Yemen,4.2
Jordan,4.15
Mauritania,4.15
Togo,4.11
India,3.78
Zambia,3.76
Malawi,3.75
Tanzania,3.7
Sierra Leone,3.57
Lesotho,3.51
Botswana,3.47
Rwanda,3.27
Zimbabwe,3.0
Lebanon,2.96
Afghanistan,2.4
